loss_name,loss_mode,best_miou,last_miou,best_macro_f1,best_rare_miou,epochs
soft_bce_dice,soft_bce_dice,0.18176969197234855,0.18176969197234855,0.2751480383864668,0.196285422929815,5
bce_dice,bce_dice,0.17367092931231895,0.17367092931231895,0.2702175102972758,0.17809426638151415,5
focal_tversky_mix,focal_tversky_mix,0.168008715875572,0.168008715875572,0.25846253064101854,0.18228051203649906,5
dice_focal,dice_focal,0.1634687384447678,0.1634687384447678,0.2540598374228129,0.1761188449014668,5
bce_tversky,bce_tversky,0.1600904348219389,0.1600904348219389,0.24643956884350202,0.16436354247622154,5
asymmetric,asymmetric,0.15364440391614517,0.15364440391614517,0.23094277758747792,0.17258712316833258,5
bce,bce,0.10203768425538429,0.10203768425538429,0.14919734537306215,0.11479239478730732,5
focal,focal,0.09403634608130078,0.09403634608130078,0.1460003887813609,0.10579088934146338,5
bce_focal,bce_focal,0.06794109806472828,0.06794109806472828,0.09957915064414834,0.07643373532281932,5
dice,dice,0.06275607128972727,0.06275607128972727,0.10962136949513261,0.06548591762425607,5
tversky,tversky,0.06177781270975834,0.06177781270975834,0.10635174548855197,0.06620223710148848,5
focal_tversky,focal_tversky,0.05883142832909215,0.05883142832909215,0.10357772355362976,0.062337874329163226,5
bce_lovasz,bce_lovasz,0.04951963565647075,0.04951963565647075,0.08280959990945548,0.05413846159061354,5
lovasz,lovasz,0.02502482202556594,7.063631690495256e-05,0.04526159050966098,0.026713173718353293,5
